source city,source country,source cont.,dest. city,dest. country,dest. cont.,active
Andahuaylas,Peru,S. A,Lima,Peru,S. A,Y
Ayacucho,Peru,S. A,Lima,Peru,S. A,Y
Cuzco,Peru,S. A,Lima,Peru,S. A,Y
Cuzco,Peru,S. A,Puerto Maldonado,Peru,S. A,Y
Huánuco,Peru,S. A,Lima,Peru,S. A,Y
Iquitos,Peru,S. A,Pucallpa,Peru,S. A,Y
Iquitos,Peru,S. A,Tarapoto,Peru,S. A,Y
Lima,Peru,S. A,Andahuaylas,Peru,S. A,Y
Lima,Peru,S. A,Ayacucho,Peru,S. A,Y
Lima,Peru,S. A,Cuzco,Peru,S. A,Y
Lima,Peru,S. A,Huánuco,Peru,S. A,Y
Lima,Peru,S. A,Pucallpa,Peru,S. A,Y
Lima,Peru,S. A,Tarapoto,Peru,S. A,Y
Pucallpa,Peru,S. A,Iquitos,Peru,S. A,Y
Pucallpa,Peru,S. A,Lima,Peru,S. A,Y
Pucallpa,Peru,S. A,Tarapoto,Peru,S. A,Y
Puerto Maldonado,Peru,S. A,Cuzco,Peru,S. A,Y
Tarapoto,Peru,S. A,Iquitos,Peru,S. A,Y
Tarapoto,Peru,S. A,Lima,Peru,S. A,Y
Tarapoto,Peru,S. A,Pucallpa,Peru,S. A,Y
Cotonou,Benin,AF.,Lome,Togo,AF.,Y
Lome,Togo,AF.,Cotonou,Benin,AF.,Y
Cuenca,Ecuador,S. A,Quito,Ecuador,S. A,Y
Galapagos,Ecuador,S. A,Guayaquil,Ecuador,S. A,Y
Galapagos,Ecuador,S. A,Quito,Ecuador,S. A,Y
Guayaquil,Ecuador,S. A,Galapagos,Ecuador,S. A,Y
Guayaquil,Ecuador,S. A,San Cristóbal,Ecuador,S. A,Y
Guayaquil,Ecuador,S. A,Quito,Ecuador,S. A,Y
Manta,Ecuador,S. A,Quito,Ecuador,S. A,Y
Coca,Ecuador,S. A,Quito,Ecuador,S. A,Y
San Cristóbal,Ecuador,S. A,Guayaquil,Ecuador,S. A,Y
San Cristóbal,Ecuador,S. A,Quito,Ecuador,S. A,Y
Quito,Ecuador,S. A,Cuenca,Ecuador,S. A,Y
Quito,Ecuador,S. A,Galapagos,Ecuador,S. A,Y
Quito,Ecuador,S. A,Guayaquil,Ecuador,S. A,Y
Quito,Ecuador,S. A,Manta,Ecuador,S. A,Y
Quito,Ecuador,S. A,Coca,Ecuador,S. A,Y
Quito,Ecuador,S. A,San Cristóbal,Ecuador,S. A,Y
Antalya,Turkey,AS.,Geneva,Switzerland,EU.,Y
