ID,Year,Month,Day,USCG,Vessel,Record,Amount,Death,L_Longitude,L_Latitude,D_Longitude,D_Latitude
"0","2005","1","1","No Data","Go Fast","Landing","12","7","-81.08915254208729","24.69719130979371","-79.6559597021436","23.72503328776361"
"1","2005","1","1","Barracuda","Rustic","Interdiction","12","0","-79.94720757796837","24.82172611548247","0.0","0.0"
"2","2005","1","12","Adamant","Go Fast","Interdiction","23","0","-80.19928902123826","25.01216886535283","0.0","0.0"
"3","2005","1","29","Ironwood","Raft","Interdiction","5","0","-80.04689700950203","25.44709305851171","0.0","0.0"
"4","2005","2","1","Baleineau","Rustic","Interdiction","14","0","-80.18240982022905","24.17885797283693","0.0","0.0"
"5","2005","2","5","Forthright","Raft","Interdiction","5","2","-81.52312904706844","24.46618373643791","-79.89722712353014","23.97942894037752"
"6","2005","2","7","Decisive","Go Fast","Interdiction","22","0","-79.96839539581916","24.22658138648567","0.0","0.0"
"7","2005","2","11","Bold Reef","Rustic","Interdiction","13","0","-80.18251754300478","24.27417057821168","-80.30497342463124","24.07890526980327"
"8","2005","2","25","Pompano","Raft","Interdiction","6","0","-80.32020594311533","25.02156920297054","0.0","0.0"
"9","2005","2","26","Relentless","Rustic","Interdiction","17","0","-80.32948566264457","24.5833761733897","0.0","0.0"
"10","2005","2","27","Tarpon","Rustic","Interdiction","16","0","-80.07295814834164","24.49801467745512","0.0","0.0"
"11","2005","2","27","Varley","Go Fast","Interdiction","21","0","-80.20018154710283","25.49489715139321","-79.65668944364138","23.72841352754437"
"12","2005","3","1","Adamant","Rustic","Interdiction","16","0","-80.27832839842856","25.08841322655697","0.0","0.0"
"13","2005","3","5","Pompano","Rustic","Interdiction","13","8","-80.04156843312367","25.69186924363064","-79.66439958619682","23.74498519627797"
"14","2005","3","6","Hurricane","Rustic","Interdiction","17","0","-80.09408305458653","24.82646189377057","0.0","0.0"
"15","2005","3","11","Hurricane","Rustic","Interdiction","19","0","-80.11546974267176","25.32730314662684","0.0","0.0"
"16","2005","3","13","Palm Island","Rustic","Interdiction","18","0","-80.5790115931053","24.06315376176194","-80.30714589800914","24.05997698481837"
"17","2005","3","13","No Data","Rustic","Landing","5","0","-81.34512036484227","24.63183691027188","0.0","0.0"
"18","2005","3","14","Tripoteur","Rustic","Interdiction","20","0","-80.46027428475135","24.54496152405007","0.0","0.0"
"19","2005","3","18","Bulwark","Rustic","Interdiction","10","0","-80.09426800326266","25.14106251624117","-80.29254191038436","24.08332659230911"
"20","2005","3","22","Bonefish","Go Fast","Interdiction","30","0","-79.9004372420782","24.34561266497651","0.0","0.0"
"21","2005","3","24","No Data","Rustic","Landing","25","0","-81.04261500393406","24.70993943601626","-79.89722712353014","23.97942894037752"
"22","2005","3","25","Bonefish","Rustic","Interdiction","16","0","-80.24009747052924","24.35026640711872","0.0","0.0"
"23","2005","3","31","Seagrass","Rustic","Interdiction","16","0","-79.84299119680432","24.30745326988884","-80.3045971270051","24.07654046124591"
"24","2005","4","1","Anthony K","Raft","Interdiction","6","3","-80.29378504502415","24.97392042728845","0.0","0.0"
"25","2005","4","2","No Data","Rustic","Landing","12","10","-80.47826511322499","25.03518686018366","0.0","0.0"
"26","2005","4","5","Baleineau","Go Fast","Interdiction","27","0","-81.82080042861662","24.42431659627794","0.0","0.0"
"27","2005","4","13","Tripoteur","Raft","Interdiction","6","0","-80.15149489716094","24.57412215015249","-79.65999190070923","23.73619147168514"
"28","2005","4","14","Anthony K","Rustic","Interdiction","14","0","-79.9472966944589","24.70268893547027","-80.29254191038436","24.08332659230911"
"29","2005","4","18","Relentless","Rustic","Interdiction","12","0","-80.49646244663153","24.41151907605223","-80.3045971270051","24.07654046124591"
"30","2005","4","18","Manatee","Go Fast","Interdiction","25","0","-80.14071201807747","24.24563707342568","0.0","0.0"
"31","2005","4","18","Determined","Raft","Interdiction","5","0","-80.34410619171067","24.09743972503986","0.0","0.0"
"32","2005","4","19","No Data","Raft","Landing","5","0","-81.53112931418791","24.62087891668404","0.0","0.0"
"33","2005","4","20","Tarpon","Rustic","Interdiction","13","9","-80.01016203604443","24.20276332436852","-79.66439958619682","23.74498519627797"
"34","2005","4","21","Determined","Go Fast","Interdiction","19","0","-80.23125910208752","25.21733606233097","0.0","0.0"
"35","2005","4","21","Determined","Rustic","Interdiction","17","0","-80.09980789029535","25.58611182208721","0.0","0.0"
"36","2005","4","22","Hurricane","Rustic","Interdiction","15","0","-80.53230276722759","24.17789642525126","0.0","0.0"
"37","2005","4","23","Seagrass","Rustic","Interdiction","17","0","-79.81062985086143","24.90735612527959","0.0","0.0"
"38","2005","4","24","Tripoteur","Rustic","Interdiction","7","4","-80.11997101424734","24.42182721686271","0.0","0.0"
"39","2005","4","24","No Data","Rustic","Landing","7","0","-80.64614681014456","24.8955685636263","0.0","0.0"
"40","2005","4","24","Tripoteur","Rustic","Interdiction","16","0","-79.95795199600187","24.14552430231414","-80.30497342463124","24.07890526980327"
"41","2005","4","24","Ironwood","Rustic","Interdiction","23","0","-80.33100097073213","25.10742916222947","-80.23429525620114","24.08680387475695"
"42","2005","4","26","Cunningham","Raft","Interdiction","6","0","-80.14622349209523","24.53605142362535","0.0","0.0"
"43","2005","5","3","Bonefish","Rustic","Interdiction","17","0","-79.78036667968115","24.24065311121269","-79.65999190070923","23.73619147168514"
"44","2005","5","4","No Data","Raft","Landing","5","0","-81.25557193415337","24.65746864299459","0.0","0.0"
"45","2005","5","4","Pompano","Rustic","Interdiction","9","0","-80.33045250710296","24.93574264936793","-80.30497342463124","24.07890526980327"
"46","2005","5","5","Varley","Rustic","Interdiction","17","12","-80.02058975355008","25.14110861350553","0.0","0.0"
"47","2005","5","6","Decisive","Rustic","Interdiction","14","0","-79.96839159509928","24.27899162958015","0.0","0.0"
"48","2005","5","8","Baleineau","Rustic","Interdiction","16","0","-80.25026193009975","24.1692014220308","0.0","0.0"
"49","2005","5","8","No Data","Rustic","Landing","16","0","-81.46921062625799","24.63675212748347","0.0","0.0"
"50","2005","5","9","Cunningham","Go Fast","Interdiction","25","0","-79.8733980912709","25.04565638589924","0.0","0.0"
"51","2005","5","9","Determined","Raft","Interdiction","6","0","-80.45036568269887","24.70210380233408","-79.65413313738127","23.7175564062856"
"52","2005","5","11","Tarpon","Raft","Interdiction","5","0","-80.27762398890225","24.80246837637318","0.0","0.0"
"53","2005","5","12","No Data","Rustic","Landing","12","0","-80.57272088937641","24.94802171073175","-80.29536619862245","24.08602043115718"
"54","2005","5","15","Manatee","Rustic","Interdiction","18","0","-80.05745355895829","25.29388966742432","0.0","0.0"
"55","2005","5","15","Forthright","Rustic","Interdiction","11","0","-80.75496221688965","24.72483828554483","-79.65932674368925","23.70743135623052"
"56","2005","5","16","Palm Island","Go Fast","Interdiction","36","17","-80.7971421694391","24.74370776829298","0.0","0.0"
"57","2005","5","19","No Data","Rustic","Landing","15","0","-80.62714307123046","24.91117133465684","0.0","0.0"
"58","2005","5","22","Torchwood","Raft","Interdiction","6","3","-80.08887238176641","24.88837268539809","0.0","0.0"
"59","2005","5","25","No Data","Raft","Landing","4","0","-80.4852112976717","25.02919178768411","-80.29832988265768","24.08669093407634"
"60","2005","5","27","Hurricane","Raft","Interdiction","6","0","-80.43806048171797","24.0923862356317","0.0","0.0"
"61","2005","5","27","Pompano","Rustic","Interdiction","22","0","-80.25111411496918","24.66443528995714","0.0","0.0"
"62","2005","6","1","Seagrass","Rustic","Interdiction","13","0","-80.09976643764324","25.51895051725559","-79.89168117744464","23.97874989942011"
"63","2005","6","1","Tarpon","Raft","Interdiction","5","0","-80.05746544393199","25.51899312439785","0.0","0.0"
"64","2005","6","1","Torchwood","Raft","Interdiction","7","0","-80.2139956771518","24.36935502421911","0.0","0.0"
"65","2005","6","2","Cunningham","Rustic","Interdiction","8","0","-80.37600933812311","24.35473159672885","0.0","0.0"
"66","2005","6","3","No Data","Rustic","Landing","6","0","-80.10194767587387","25.98738641649972","-79.88872352492575","23.9773964271908"
"67","2005","6","3","No Data","Raft","Landing","4","0","-80.82934238851517","24.80510148225205","0.0","0.0"
"68","2005","6","6","Tripoteur","Rustic","Interdiction","14","12","-80.48795123898678","24.91157058251739","0.0","0.0"
"69","2005","6","8","Manatee","Rustic","Interdiction","16","0","-80.62397339422617","24.78730390039602","0.0","0.0"
"70","2005","6","8","Decisive","Rustic","Interdiction","14","0","-80.43333148934599","24.29265415035436","-79.88872352492575","23.9773964271908"
"71","2005","6","13","Determined","Rustic","Interdiction","15","0","-80.04150973064074","24.25996164764757","0.0","0.0"
"72","2005","6","14","Baleineau","Rustic","Interdiction","12","0","-80.10514644454689","25.65331223519913","0.0","0.0"
"73","2005","6","15","No Data","Rustic","Landing","18","0","-82.12217781905542","24.54877290905286","0.0","0.0"
"74","2005","6","17","No Data","Go Fast","Landing","31","23","-81.37347625036766","24.62526582828811","0.0","0.0"
"75","2005","6","23","Palm Island","Rustic","Interdiction","18","0","-79.96209385609082","25.66783745350019","-80.30497342463124","24.07890526980327"
"76","2005","6","23","Ironwood","Rustic","Interdiction","25","0","-80.4129074337326","24.4593939356288","-79.65932674368925","23.70743135623052"
"77","2005","6","25","Adamant","Rustic","Interdiction","16","0","-80.28690003595585","24.2263337425786","0.0","0.0"
"78","2005","6","26","Cunningham","Rustic","Interdiction","10","0","-79.9781696095232","25.49506340325412","0.0","0.0"
